"species" "diet" "presence"
"129" "Otolemur_garnettii__small-eared_galago__otoGar3" "Herbivore" "1"
"130" "Ovis_aries__sheep__HLoviAri5" "Vertivore" "1"
"131" "Pan_paniscus__pygmy_chimpanzee__panPan3" "Herbivore" "1"
"132" "Pan_troglodytes__chimpanzee__panTro6" "Insectivore" "1"
"133" "Panthera_pardus__leopard__HLpanPar1" "Insectivore" "1"
"134" "Panthera_tigris_altaica__Amur_tiger__panTig1" "Insectivore" "1"
"135" "Pantholops_hodgsonii__chiru__panHod1" "Insectivore" "1"
"136" "Paradoxurus_hermaphroditus__Asian_palm_civet__HLparHer1" "Herbivore" "1"
"137" "Petromus_typicus__dassie-rat__HLpetTyp1" "Vertivore" "1"
"138" "Piliocolobus_tephrosceles__Ugandan_red_Colobus__HLpilTep2" "Herbivore" "1"
"139" "Pithecia_pithecia__white-faced_saki__HLpitPit1" "Omnivore" "1"
"140" "Platanista_minor__Indus_River_dolphin__HLplaMin1" "Herbivore" "1"
"141" "Plecturocebus_donacophilus__Bolivian_titi__HLpleDon1" "Herbivore" "1"
"142" "Pongo_abelii__Sumatran_orangutan__ponAbe3" "Herbivore" "1"
"143" "Propithecus_coquereli__Coquerels_sifaka__proCoq1" "Herbivore" "1"
"144" "Psammomys_obesus__fat_sand_rat__HLpsaObe1" "Herbivore" "1"
"145" "Pteronotus_parnellii__Parnells_mustached_bat__ptePar1" "Herbivore" "1"
"146" "Pteropus_alecto__black_flying_fox__pteAle1" "Insectivore" "1"
"147" "Pteropus_vampyrus__large_flying_fox__HLpteVam2" "Vertivore" "1"
"148" "Puma_concolor__puma__HLpumCon1" "Insectivore" "1"
"149" "Pygathrix_nemaeus__Red_shanked_douc_langur__HLpygNem1" "Insectivore" "1"
"150" "Rangifer_tarandus__reindeer__HLranTar1" "Herbivore" "1"
"151" "Rattus_norvegicus__Norway_rat__HLratNor7" "Omnivore" "1"
"152" "Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin1" "Herbivore" "1"
"153" "Rhinopithecus_bieti__black_snub-nosed_monkey__rhiBie1" "Herbivore" "1"
"154" "Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2" "Herbivore" "1"
"155" "Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4" "Herbivore" "1"
"156" "Saguinus_imperator__tamarin__HLsagImp1" "Vertivore" "1"
"157" "Saiga_tatarica__-__HLsaiTat1" "Vertivore" "UN"
"158" "Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBol1" "Vertivore" "1"
"159" "Scalopus_aquaticus__eastern_mole__HLscaAqu1" "Herbivore" "1"
"160" "Semnopithecus_entellus__Hanuman_langur__HLsemEnt1" "Omnivore" "0"
"161" "Sigmodon_hispidus__hispid_cotton_rat__HLsigHis1" "Omnivore" "1"
"162" "Solenodon_paradoxus__Hispaniolan_solenodon__HLsolPar1" "Omnivore" "1"
"163" "Sorex_araneus__European_shrew__sorAra2" "Herbivore" "1"
"164" "Spermophilus_dauricus__Daurian_ground_squirrel__HLspeDau1" "Omnivore" "1"
"165" "Spilogale_gracilis__western_spotted_skunk__HLspiGra1" "Herbivore" "1"
"166" "Sus_scrofa__pig__susScr11" "Vertivore" "1"
"167" "Tadarida_brasiliensis__Brazilian_free-tailed_bat__HLtadBra1" "Herbivore" "1"
"168" "Tapirus_terrestris__Brazilian_tapir__HLtapTer1" "Insectivore" "1"
"169" "Thryonomys_swinderianus__Greater_cane_rat__HLthrSwi1" "Omnivore" "1"
"170" "Tonatia_saurophila__stripe-headed_round-eared_bat__HLtonSau1" "Omnivore" "1"
"171" "Tragulus_javanicus__Java_mouse-deer__HLtraJav1" "Omnivore" "1"
"172" "Tupaia_belangeri__northern_tree_shrew__tupBel1" "Herbivore" "UN"
"173" "Tupaia_chinensis__Chinese_tree_shrew__tupChi1" "Herbivore" "1"
"174" "Uropsilus_gracilis__gracile_shrew_mole__HLuroGra1" "Insectivore" "1"
"175" "Ursus_maritimus__polar_bear__ursMar1" "Vertivore" "1"
"176" "Vicugna_pacos__alpaca__vicPac2" "Herbivore" "1"
"177" "Vulpes_lagopus__Arctic_fox__HLvulLag1" "Herbivore" "1"
"178" "Xerus_inauris__South_African_ground_squirrel__HLxerIna1" "Vertivore" "1"
"179" "Zalophus_californianus__California_sea_lion__HLzalCal1" "Herbivore" "1"
"180" "Zapus_hudsonius__meadow_jumping_mouse__HLzapHud1" "Herbivore" "1"
"181" "Ziphius_cavirostris__Cuviers_beaked_whale__HLzipCav1" "Omnivore" "UN"
